House Vote #463 2022-09-29T15:40:00 - S. 3470: End Human Trafficking in Government Contracts Act of 2022
person,state,district,vote,name,party
412568,OK,2,Yea,Rep. Markwayne Mullin [R],Republican
412569,PA,10,Yea,Rep. Scott Perry [R],Republican
412571,PA,8,Yea,Rep. Matthew “Matt” Cartwright [D],Democrat
412572,SC,7,Yea,Rep. Tom Rice [R],Republican
412574,TX,14,Yea,Rep. Randy Weber [R],Republican
412576,TX,20,Yea,Rep. Joaquin Castro [D],Democrat
412578,TX,25,Yea,Rep. Roger Williams [R],Republican
412579,TX,33,Yea,Rep. Marc Veasey [D],Democrat
412581,UT,2,Yea,Rep. Chris Stewart [R],Republican
412583,WA,6,Yea,Rep. Derek Kilmer [D],Democrat
412585,WI,2,Yea,Rep. Mark Pocan [D],Democrat
412595,IL,2,Yea,Rep. Robin Kelly [D],Democrat
412596,MO,8,Yea,Rep. Jason Smith [R],Republican
412600,MA,5,Yea,Rep. Katherine Clark [D],Democrat
412606,NJ,1,Yea,Rep. Donald Norcross [D],Democrat
412607,NC,12,Yea,Rep. Alma Adams [D],Democrat
412608,AL,6,Yea,Rep. Gary Palmer [R],Republican
412609,AR,2,Yea,Rep. French Hill [R],Republican
412610,AR,4,Yea,Rep. Bruce Westerman [R],Republican
412612,AZ,7,Yea,Rep. Ruben Gallego [D],Democrat
412613,CA,11,Yea,Rep. Mark DeSaulnier [D],Democrat
412615,CA,31,Yea,Rep. Pete Aguilar [D],Democrat
412616,CA,33,Yea,Rep. Ted Lieu [D],Democrat
412617,CA,35,Yea,Rep. Norma Torres [D],Democrat
412619,CO,4,Yea,Rep. Ken Buck [R],Republican
412622,GA,1,Yea,Rep. Earl “Buddy” Carter [R],Republican
412623,GA,10,Yea,Rep. Jody Hice [R],Republican
412624,GA,11,Yea,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Yea,Rep. Rick Allen [R],Republican
412629,IL,12,Yea,Rep. Mike Bost [R],Republican
412631,LA,6,Yea,Rep. Garret Graves [R],Republican
412632,MA,6,Yea,Rep. Seth Moulton [D],Democrat
412634,MI,4,Yea,Rep. John Moolenaar [R],Republican
412637,MI,12,Yea,Rep. Debbie Dingell [D],Democrat
412638,MI,14,Yea,Rep. Brenda Lawrence [D],Democrat
412639,MN,6,Yea,Rep. Tom Emmer [R],Republican
412641,NC,7,Yea,Rep. David Rouzer [R],Republican
412644,NJ,12,Yea,Rep. Bonnie Watson Coleman [D],Democrat
412646,NY,1,Not Voting,Rep. Lee Zeldin [R],Republican
412647,NY,4,Yea,Rep. Kathleen Rice [D],Democrat
412648,NY,21,Yea,Rep. Elise Stefanik [R],Republican
412649,NY,24,Yea,Rep. John Katko [R],Republican
412652,PA,2,Yea,Rep. Brendan Boyle [D],Democrat
412655,TX,36,Yea,Rep. Brian Babin [R],Republican
412657,VA,8,Yea,Rep. Donald Beyer [D],Democrat
412660,WA,4,Yea,Rep. Dan Newhouse [R],Republican
412661,WI,6,Yea,Rep. Glenn Grothman [R],Republican
412662,WV,2,Yea,Rep. Alexander Mooney [R],Republican
412673,MS,1,Yea,Rep. Trent Kelly [R],Republican
412674,IL,18,Yea,Rep. Darin LaHood [R],Republican
412675,OH,8,Yea,Rep. Warren Davidson [R],Republican
412676,KY,1,Yea,Rep. James Comer [R],Republican
412677,PA,3,Yea,Rep. Dwight Evans [D],Democrat
412682,AZ,1,Yea,Rep. Tom O’Halleran [D],Democrat
412683,AZ,5,Yea,Rep. Andy Biggs [R],Republican
412684,CA,17,Yea,Rep. Ro Khanna [D],Democrat
412685,CA,20,Yea,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,Yea,Rep. Salud Carbajal [D],Democrat
412687,CA,44,Yea,Rep. Nanette Barragán [D],Democrat
412688,CA,46,Yea,Rep. Luis Correa [D],Democrat
412689,DE,0,Yea,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,Yea,Rep. Matt Gaetz [R],Republican
412691,FL,2,Yea,Rep. Neal Dunn [R],Republican
412692,FL,4,Yea,Rep. John Rutherford [R],Republican
412693,FL,5,Yea,Rep. Al Lawson [D],Democrat
412694,FL,7,Yea,Rep. Stephanie Murphy [D],Democrat
412695,FL,9,Yea,Rep. Darren Soto [D],Democrat
412696,FL,10,Yea,Rep. Val Demings [D],Democrat
412698,FL,18,Yea,Rep. Brian Mast [R],Republican
412700,GA,3,Yea,Rep. Drew Ferguson [R],Republican
412701,IL,8,Yea,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,Yea,Rep. Jim Banks [R],Republican
412703,IN,9,Not Voting,Rep. Trey Hollingsworth [R],Republican
412705,LA,3,Yea,Rep. Clay Higgins [R],Republican
412706,LA,4,Yea,Rep. Mike Johnson [R],Republican
412707,MD,4,Yea,Rep. Anthony Brown [D],Democrat
412708,MD,8,Yea,Rep. Jamie Raskin [D],Democrat
412709,MI,1,Yea,Rep. Jack Bergman [R],Republican
412712,NC,13,Yea,Rep. Ted Budd [R],Republican
412713,NE,2,Yea,Rep. Don Bacon [R],Republican
412714,NJ,5,Yea,Rep. Josh Gottheimer [D],Democrat
412717,NY,3,Yea,Rep. Thomas Suozzi [D],Democrat
412718,NY,13,Yea,Rep. Adriano Espaillat [D],Democrat
412720,NY,22,Yea,Rep. Claudia Tenney [R],Republican
412721,PA,1,Yea,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,Yea,Rep. Lloyd Smucker [R],Republican
412724,TN,8,Yea,Rep. David Kustoff [R],Republican
412725,TX,15,Yea,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,Yea,Rep. Jodey Arrington [R],Republican
412728,VA,4,Yea,Rep. Donald McEachin [D],Democrat
412730,WA,7,Yea,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,Yea,Rep. Mike Gallagher [R],Republican
412732,WY,0,Not Voting,Rep. Liz Cheney [R],Republican
412735,KS,4,Yea,Rep. Ron Estes [R],Republican
412738,SC,5,Yea,Rep. Ralph Norman [R],Republican
412739,CA,34,Yea,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,Yea,Rep. John Curtis [R],Republican
412744,PA,17,Yea,Rep. Conor Lamb [D],Democrat
412745,AZ,8,Yea,Rep. Debbie Lesko [R],Republican
412746,TX,27,Yea,Rep. Michael Cloud [R],Republican
412747,OH,12,Yea,Rep. Troy Balderson [R],Republican
412748,OK,1,Yea,Rep. Kevin Hern [R],Republican
412749,NY,25,Yea,Rep. Joseph Morelle [D],Democrat
412750,PA,5,Yea,Rep. Mary Scanlon [D],Democrat
412751,PA,7,Yea,Rep. Susan Wild [D],Democrat
412753,AZ,9,Yea,Rep. Greg Stanton [D],Democrat
412754,CA,10,Yea,Rep. Josh Harder [D],Democrat
412758,CA,45,Yea,Rep. Katie Porter [D],Democrat
412760,CA,49,Yea,Rep. Mike Levin [D],Democrat
412761,CO,2,Yea,Rep. Joe Neguse [D],Democrat
412762,CO,6,Yea,Rep. Jason Crow [D],Democrat
412763,CT,5,Yea,Rep. Jahana Hayes [D],Democrat
412764,FL,6,Yea,Rep. Michael Waltz [R],Republican
412766,FL,17,Yea,Rep. Gregory Steube [R],Republican
412769,GA,6,Yea,Rep. Lucy McBath [D],Democrat
412772,IA,3,Yea,Rep. Cynthia Axne [D],Democrat
412773,ID,1,Yea,Rep. Russ Fulcher [R],Republican
412774,IL,4,Yea,Rep. Jesús “Chuy” García [D],Democrat
412775,IL,6,Yea,Rep. Sean Casten [D],Democrat
412776,IL,14,Yea,Rep. Lauren Underwood [D],Democrat
412777,IN,4,Yea,Rep. James Baird [R],Republican
412778,IN,6,Yea,Rep. Greg Pence [R],Republican
412780,KS,3,Yea,Rep. Sharice Davids [D],Democrat
412781,MA,3,Yea,Rep. Lori Trahan [D],Democrat
412782,MA,7,Yea,Rep. Ayanna Pressley [D],Democrat
412783,MD,6,Yea,Rep. David Trone [D],Democrat
412784,MI,8,Yea,Rep. Elissa Slotkin [D],Democrat
412785,MI,9,Yea,Rep. Andy Levin [D],Democrat
412786,MI,11,Yea,Rep. Haley Stevens [D],Democrat
412787,MI,13,Yea,Rep. Rashida Tlaib [D],Democrat
412789,MN,2,Yea,Rep. Angie Craig [D],Democrat
412790,MN,3,Yea,Rep. Dean Phillips [D],Democrat
412791,MN,5,Yea,Rep. Ilhan Omar [D],Democrat
412792,MN,8,Yea,Rep. Pete Stauber [R],Republican
412793,MS,3,Yea,Rep. Michael Guest [R],Republican
412794,ND,0,Yea,Rep. Kelly Armstrong [R],Republican
412795,NH,1,Yea,Rep. Chris Pappas [D],Democrat
412796,NJ,2,Yea,Rep. Jefferson Van Drew [R],Republican
412797,NJ,3,Yea,Rep. Andy Kim [D],Democrat
412798,NJ,7,Yea,Rep. Tom Malinowski [D],Democrat
412799,NJ,11,Yea,Rep. Mikie Sherrill [D],Democrat
412802,NV,3,Yea,Rep. Susie Lee [D],Democrat
412804,NY,14,Yea,Rep. Alexandria Ocasio-Cortez [D],Democrat
412807,OH,16,Yea,Rep. Anthony Gonzalez [R],Republican
412809,PA,4,Yea,Rep. Madeleine Dean [D],Democrat
412810,PA,6,Yea,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,Yea,Rep. Daniel Meuser [R],Republican
412812,PA,13,Yea,Rep. John Joyce [R],Republican
412813,PA,14,Yea,Rep. Guy Reschenthaler [R],Republican
412815,SC,4,Yea,Rep. William Timmons [R],Republican
412816,SD,0,Yea,Rep. Dusty Johnson [R],Republican
412817,TN,2,Yea,Rep. Tim Burchett [R],Republican
412818,TN,6,Yea,Rep. John W. Rose [R],Republican
412819,TN,7,Yea,Rep. Mark E. Green [R],Republican
412820,TX,2,Yea,Rep. Dan Crenshaw [R],Republican
412821,TX,3,Yea,Rep. Van Taylor [R],Republican
412822,TX,5,Yea,Rep. Lance Gooden [R],Republican
412824,TX,7,Yea,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,Yea,Rep. Veronica Escobar [D],Democrat
412826,TX,21,Yea,Rep. Chip Roy [R],Republican
412827,TX,29,Yea,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,Yea,Rep. Colin Allred [D],Democrat
412830,VA,2,Yea,Rep. Elaine Luria [D],Democrat
412832,VA,6,Yea,Rep. Ben Cline [R],Republican
412833,VA,7,Yea,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,Yea,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,Yea,Rep. Kim Schrier [D],Democrat
412836,WI,1,Yea,Rep. Bryan Steil [R],Republican
412837,WV,3,Yea,Rep. Carol Miller [R],Republican
412842,ME,2,Yea,Rep. Jared Golden [D],Democrat
412843,PA,12,Yea,Rep. Fred Keller [R],Republican
412844,NC,9,Yea,Rep. Dan Bishop [R],Republican
412845,NC,3,Yea,Rep. Gregory Murphy [R],Republican
456791,WI,7,Yea,Rep. Thomas Tiffany [R],Republican
456792,CA,25,Yea,Rep. Mike Garcia [R],Republican
456793,NY,27,Yea,Rep. Chris Jacobs [R],Republican
456799,AL,1,Yea,Rep. Jerry Carl [R],Republican
456800,AL,2,Yea,Rep. Barry Moore [R],Republican
456801,CA,8,Yea,Rep. Jay Obernolte [R],Republican
456802,CA,39,Yea,Rep. Young Kim [R],Republican
456803,CA,48,Yea,Rep. Michelle Steel [R],Republican
456804,CA,53,Yea,Rep. Sara Jacobs [D],Democrat
456805,CO,3,Yea,Rep. Lauren Boebert [R],Republican
456806,FL,3,Yea,Rep. Katherine “Kat” Cammack [R],Republican
456807,FL,15,Yea,Rep. Scott Franklin [R],Republican
456808,FL,19,Yea,Rep. Byron Donalds [R],Republican
456809,FL,26,Yea,Rep. Carlos Gimenez [R],Republican
456810,FL,27,Yea,Rep. Maria Salazar [R],Republican
456811,GA,5,Yea,Rep. Nikema Williams [D],Democrat
456812,GA,7,Yea,Rep. Carolyn Bourdeaux [D],Democrat
